,trace,Adduser,Hydra_FTP,Hydra_SSH,Java_Meterpreter,Meterpreter,Web_Shell
10,102 5 5 5 91 168 3 168 102 240 240 78 265 240 240 240 78 5 197 192 3 6 91 168 13 102 102 240 78 5 197 192 3 3 6 91 168 13 102 102 102 13 102 102 102 102 6 102 102 102 13 102 102 102 102 6 102 102 102 13 102 102 102 102 6 102 102 102 13 102 102 102 102 6 102 102 102 13 102 102 102 102 6 102 102 102 13 102 102 102 102 6 102 102 102 13 102 102 102 102 6 102 102 102 13 102 102 102 102 6 4 78 265 240 240 78 265 102 13 102 102 102 102 6 102 102 102 13 102 102 102 102 6 102 102 102 13 102 102 102 102 6 102 102 240 6 168 102 265,0,0,0,0,0,0
11,240 5 197 192 6 33 5 3 197 192 192 6 33 5 3 197 192 192 6 33 5 3 197 192 192 6 125 125 125 91 5 3 197 192 192 6 78 4 78 4 78 4 91 6 78 78 4 5 197 192 6 91 33 33 33 33 78 4 5 197 192 6 91 78 4 5 197 192 6 33 5 195 5 195 5 195 5 195 5 195 5 195 5 195 5 195 5 195 5 195 5 195 5 195 5 195 5 195 5 195 5 195 5 195 5 195 5 195 5 195 5 195 5 195 5 195 5 195 5 195 5 195 5 195 5 195 5 195 5 195 5 195 5 195 5 195 5 195 5 195 5 195 5 195 5 195 5 195 5 195 5 195 5 195 5 195 5 195 5 195 5 195 5 195 5 195 5 195 5 195 5 195 5 195 5 195 5 195 5 195 5 195 5 195 5 195 5 195 5 195 5 195 5 195 5 195 5 195 91 78 4 78 4 78 4 78 4 4 6 91 91,0,0,0,0,0,0
12,192 168 54 102 265 91 102 168 54 91 195 102 102 168 54 3 195 102 240 78 240 265 102 102 102 13 102 102 102 102 6 195 5 197 192 3 3 6 91 195 102 102 78 168 102 240 78 240 265 102 102 102 13 102 102 102 102 6 195 5 197 192 3 3 6 91 195 102 102 78 168 102 168 54 102 6 265 78 78 265 102 102 102 13 102 102 102 102 6 195 5 197 192 3 3 6 91 195 102 102 78 168 102 168 54 102 6 265 78 78 265 102 102 102 13 102 102 102 102 6 195 5 197 192 3 3 6 91 195 102 102 78 168 102 168 54 102 6 265 78 78 78 265 168 54 102 6 102 102 102 102 102 102 102 102 102 102 102 102 102 102 102 102 102 102 6 265 78 78 265 102 102 102 13 102 102 102 102 6 195 5 197 192 3 3 6 91 195 102 102 78 168 102 168 54 102 6 265 78 78 265 102 102 102 13 102 102 102 102 6 195 5 197 192 3 3 6 91 195 102 102 78 168 102 168 54 102 6 265 78 78 265 102 102 102 13 102 102 102 102 6 195 5 197 192 3 3 6 91 195 102 102 78 168 102 168 54 102 6 102 102 102 102 102 102 102 102 102 6 265 78 78 265 102 102 102 13 102 102 102 102 6 195 5 197 192 3 3 6 91 195 102 102 78 168 102 168 54 102 6 265 78 78 78 265 240 78 240 265 102 102 102 13 102 102 102 102 6 195 5 197 192 3 3 6 91 195 102 102 78 168 102 168 54 102 6 265 78 4 78 78 265 102 102 102 168 54 102 6 102 102 102 102 240 91 102 168 54 102 6 102 102 102 102 102 102 102 102 102 102 102 102 102 102 102 102 102 102 102 4 78 78 265 240 78 240 265 168 54 102 6 265 78 78 78 265 240 240 78 219,0,0,0,0,0,0
13,3 3 140 195 3 195 45 3 3 3 45 3 3 3 3 3 3 3 3 3 3 195 3 3 3 6 195 3 3 45 140 140 195 195 3 3 140 195 195 3 3 6 45 195 195 6 195 5 195 195 195 195 195 140 140 6 140 3 3 6 195 140 140 6 195 3 45 3 3 6 3 3 3 140 140 6 195 195 140 140 45 45 140 195 3 3 3 6 3 6 195 195 42 54 42 3 6 6 54 3 3 3 4 3 4 142 142 7 7 142 7 142 7 7 142 7 142 142 7 142 142 7,0,0,0,0,0,0
14,3 4 4 3 4 4 4 3 3 3 3 3 3 3 3 3 4 3 4 3 4 4 4 3 4 3 3 4 4 3 4 4 4 4 4 4 4 3 4 4 4 4 3 4 3 4 4 4 4 4 4 3 4 4 3 4 3 4 4 3 3 4 3 4 4 4 4 4 4 3 4 4 4 3 4 4 3 3 4 3 4 4 4 3 4 4 3 3 4 3 4 3 3 4 4 4 4 3 3 4 3 4 4 4 4 4 4 3 4 3 4 3 4 4 3 4 4 4 3 3 4 3 4 4 3 4 3 4 4 3 3 4 3 4 4 4 4 3 4 4 4 3 4 4 3 4 4 3 3 3 4 4 3 3 3 3 4 3 3 4 3 4 4 4 3 4 4 3 3 4 4 3 4 4 4 4 4 4 4 3 3 4 3 4 4 3 3 4 4 3 3 4 3 4 4 4 4 3 4 4 3 3 4 3 4 3 4 3 3 3 3 3 3 3 4 3 3 4 4 3 3 4 3 3 4 4 3 4 3 4 3 3 4 4 3 3,0,0,0,0,0,0
15,174 6 5 220 221 221 221 221 221 221 63 11 192 6 5 192 5 6 5 33 192 197 6 6 192 192 125 125 192 125 125 125 125 146 168 168 168 168 3 168 168 168 3 168 5 5 3 125 125 125 125 91 45 240 45 5 5 5 5 197 192 6 33 5 195 5 195 5 195 5 195 5 195 5 195 5 195 5 195 5 195 5 168 146 168 3 3 3 192 192 192 168 33 5 3 5 3 5 5 5 5 6 5 5 3 5 6 5 5 6 5 3 5 6 5 3 5 5 5 3 5 3 5 3 5 3 5 5 5 197,0,0,0,0,0,0
16,114 42 120 6 3 114 120 3 3 3 3 3 3 3 3 3 3 3 195 42 120 6 3 195 120 114 120 3 42 120 6 114 42 120 6 3 114 120 114 42 120 6 114 120 6 114 120 6 3 120 114 42 120 120 114 42 120 6 114 120 6 120 114 42 120 6 3 114 114 120 114 42 120 114 114 42 120 6 3 6 114 120 114 42 120 3 114 6 120 114 114 42 120 6 114 114 42 120 6 114 120 6 114 120 6 120 114 114 42 120 114 42 120 6 42 114 42 120 6 114 42 120 6 114 6 120 6 120 114 114 120 6 114 114 42 120 6 120 6 114 114 42 120 114 42 6 120 6 114 195 120 114 195 120 120 3 120 114 42 120 6 114 120 3 114 114 42 120 6 3 114 42 120 114 42 120 6 120 114 120 114 63 6 63 6 5 221 6 221 63 6 195 195 195 195 120 114 42 120 6 4 120 63 120 5 120 120 120 3 3 6 114 221 6 221 63 4 63 6 5 221 6 221 63 6 221 6 221 63 120 114 63 6 63 6 42 120 6 3 3 6 114 221 6 221 63 4 63 6 195 5 221 6 221 63 6 195 195 195 195 195 195 120 114 63 6 195 195 195 195 195 195 120 195 120,0,0,0,0,0,0
17,5 3 4 4 4 3 4 4 3 4 4 3 4 4 3 4 3 4 4 4 3 4 4 4 4 4 3 4 4 3 4 3 4 4 4 4 3 4 3 4 4 4 4 4 4 4 4 4 4 3 4 4 4 4 4 4 4 4 3 4 4 4 4 4 4 3 4 4 4 3 4 4 4 4 4 4 3 4 4 4 4 4 4 4 4 4 4 4 4 4 3 4 4 4 3 4 4 4 4 4 4 4 3 4 4 4 4 4 4 4 4 4 4 4 4 4 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 3 4 4 4 4 4 4 4 4 4 4 3 4 4 4 3 4 4 4 4 4 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 3 4 4 4 4 4 4 4 4 4 4,0,0,0,0,0,0
18,195 220 195 195 195 195 195 195 195 195 220 6 5 197 220 195 195 220 6 5 197 220 195 220 5 195 5 4 4 5 195 195 4 195 220 195 5 4 6 195 4 195 5 195 5 197 5 220 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 5 195 220 4 195 197 195 195 5 195 197 4 195 220 4 4 197 195 5 195 4 195 220 195 5 197 4 195 195 195 195 195 195 195 195 195 5 195 4 4 195 4 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 5 197 195 195 195 195 195 195 195 195 195 195 195 195 4 5 197 220 4 5 195 5 195 195 5 197 195 195 5 5 195 6 220 195 195 195 195 195 195 195 195 195 195 195 6 5 220 195 197 195 5 4 5 195 220 5 195 195 195 195 5 195 195 5 195 220 5 195 195 195 195 195 195 5 220 195 195 220 195 195 5 220 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 5 197 220 195 195 4 4 6 195 195 5 195 220 195 220 195 220 220 197 195 195 220 220 195 195 195 4 195 5 5 5 5 5 220 5 220 220 5 5 220 220 5 220 5 220 220 5 220 5 5 220 5 4 5 197 220 5 197 5 220 220 197 5 197 220 220 220 5 4 4 5 197 5 220 220 220 6 6 197 220 5 5 5 5 220 5 5 220 197 220 220 5 197 5 220 5 220 220 197 5 220 5 220 5 5 197 220 5 4 5 220 197 220 5 5 5 5 5 5 4 6 220 4 5 220 220 6 220 5 5 5 5 220 220 5 220 220 6 5 197 5 5 5 4 5 220 220 220 220 5 6 220 220 197 5 197 220 5 5 5 197 220 6,0,0,0,0,0,0
19,6 91 174 42 195 78 5 10 221 197 192 140 195 5 197 192 3 195 5 197 192 3 5 3 197 192 192 192 6 5 197 192 6 33 5 3 197 192 192 192 6 125 125 91 5 3 197 192 192 6 125 5 3 197 192 192 6 125 3 6 91 5 3 197 192 192 6 125 195 5 197 192 3 3 6 91 195 5 197 192 3 3 6 91 5 3 197 192 192 6 125 3 6 91 5 197 192 3 195 5 197 192 3 3 6 91 195 5 197 192 3 3 6 91 195 5 197 192 3 5 5 3 197 192 192 6 125 3 6 91 195 5 197 192 3 5 5 3 197 192 192 6 5 197 192 6 33 5 3 197 192 192 6 33 5 3 197 192 192 192 6 33 5 3 197 192 192 6 33 5 3 197 192 192 6 125 125 125 125 125 258 311 240 240 174 174 175 191 122 91 3 6 91 3 6 91 199 5 140 197 192 140 91 6 5 140 197 192 140 91 6 13 5 197 192 3 3 6 91 5 197 192 3 3 6 91 5 140 197 192 140 91 6 195 5 197 192 3 3 6 91 5 197 192 3 3 6 91 5 140 197 192 140 91 6 195 199 33 5 140 27 174 27 221 3 3 3 3 3 3 3 3 3 3 3 220 114 6 102 91,0,0,0,0,0,0
